task_name,feature_set,file_id,file_category,is_partial_file,segment_count,segment_threshold,high_segment_fraction_at_threshold,top1_inside_true_region,top3_any_inside_true_region,top5_any_inside_true_region,top5_inside_count,best_rank_inside_region,max_prob_inside,mean_prob_inside,max_prob_outside,mean_prob_outside,inside_minus_outside_mean,false_high_segment_count,false_high_segment_rate,broad_false_activation_flag,broad_activation_flag,localized_pattern_supported
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000107_ai_014_replay_laptop_mobile,ai_replay,false,27,0.5,0.0,,,,,,,,0.0242444416667437,0.001417439129767641,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000108_human_014_clean,human_clean,false,20,0.5,0.1,,,,,,,,0.6540955614257299,0.11330828896426617,,2,0.1,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000109_human_014_fabricated,human_fabricated,true,23,0.5,0.2608695652173913,true,true,true,2,1,0.9999941219182644,0.7037742687503099,0.9656388768377124,0.15494181334879184,0.548832455401518,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000110_human_014_mixer_processed,human_mixer,false,20,0.5,0.0,,,,,,,,0.0929055725044644,0.012333995550686205,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000111_human_014_replay_laptop_mobile,human_replay,false,14,0.5,0.0,,,,,,,,0.0720284687502374,0.0059035594416604,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000112_ai_015_direct,ai_direct,false,27,0.5,0.0,,,,,,,,0.2176073757885325,0.019237086148338828,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000113_ai_015_fabricated,ai_fabricated,true,32,0.5,0.21875,true,true,true,5,1,0.9996431533220494,0.9784758109904592,0.7748312142429447,0.08320508634218236,0.8952707246482768,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000114_ai_015_mixer_processed,ai_mixer,false,27,0.5,0.0,,,,,,,,0.0232177065358746,0.0014547909245502275,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000115_ai_015_replay_laptop_mobile,ai_replay,false,27,0.5,0.0,,,,,,,,0.1979582425830603,0.01582512274898912,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000116_human_015_clean,human_clean,false,19,0.5,0.0,,,,,,,,0.2956418838158385,0.05488044087066793,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000117_human_015_fabricated,human_fabricated,true,24,0.5,0.20833333333333334,false,true,true,2,2,0.9999992895137648,0.5416773879360458,0.9999998831537252,0.1709379437698717,0.3707394441661741,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000118_human_015_mixer_processed,human_mixer,false,19,0.5,0.0,,,,,,,,0.470223991057196,0.032046258136628016,,0,0.0,false,false,
