scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,threshold
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.86
dev,40,18,10,0,12,0.7,0.8,1.0,0.6,1.0,0.0,0.4,0.75,0.87
dev,40,18,10,0,12,0.7,0.8,1.0,0.6,1.0,0.0,0.4,0.75,0.88
dev,40,17,10,0,13,0.675,0.7833333333333333,1.0,0.5666666666666667,1.0,0.0,0.43333333333333335,0.723404255319149,0.89
dev,40,17,10,0,13,0.675,0.7833333333333333,1.0,0.5666666666666667,1.0,0.0,0.43333333333333335,0.723404255319149,0.9
dev,40,17,10,0,13,0.675,0.7833333333333333,1.0,0.5666666666666667,1.0,0.0,0.43333333333333335,0.723404255319149,0.91
dev,40,16,10,0,14,0.65,0.7666666666666666,1.0,0.5333333333333333,1.0,0.0,0.4666666666666667,0.6956521739130435,0.92
dev,40,14,10,0,16,0.6,0.7333333333333334,1.0,0.4666666666666667,1.0,0.0,0.5333333333333333,0.6363636363636364,0.93
dev,40,14,10,0,16,0.6,0.7333333333333334,1.0,0.4666666666666667,1.0,0.0,0.5333333333333333,0.6363636363636364,0.94
dev,40,13,10,0,17,0.575,0.7166666666666667,1.0,0.43333333333333335,1.0,0.0,0.5666666666666667,0.6046511627906976,0.95
